TRADE_DATE,ASSET_TYPE,CLOSE_PRICE
2021-07-01,BTC,33528
2021-07-02,BTC,33802.25
2021-07-03,BTC,34676.75
2021-07-04,BTC,35300.5
2021-07-05,BTC,33700.75
2021-07-06,BTC,34231.25
2021-07-07,BTC,33873.5
2021-07-08,BTC,32890
2021-07-09,BTC,33804.75
2021-07-10,BTC,33521
2021-07-11,BTC,34240.75
2021-07-12,BTC,33116.75
2021-07-13,BTC,32735.5
2021-07-14,BTC,32827
2021-07-15,BTC,31861
2021-07-16,BTC,31402.25
2021-07-17,BTC,31512
2021-07-18,BTC,31789.25
2021-07-19,BTC,30820
2021-07-20,BTC,29794.75
2021-07-21,BTC,32130
2021-07-22,BTC,32304.75
2021-07-23,BTC,33633.25
2021-07-24,BTC,34284.5
2021-07-25,BTC,35413.75
2021-07-26,BTC,37263.5
2021-07-27,BTC,39500
2021-07-28,BTC,40020.5
2021-07-29,BTC,40047.25
2021-07-30,BTC,42250
2021-07-31,BTC,41477
2021-08-01,BTC,39894
2021-08-02,BTC,39148.25
2021-08-03,BTC,38197.75
2021-08-04,BTC,39740.25
2021-08-05,BTC,40884.5
2021-08-06,BTC,42865
2021-08-07,BTC,44620
2021-08-08,BTC,43832.5
2021-08-09,BTC,46311.75
2021-08-10,BTC,45604.75
2021-08-11,BTC,45581.75
2021-08-12,BTC,44413.25
2021-08-13,BTC,47839
2021-08-14,BTC,47108
2021-08-15,BTC,47006.75
2021-08-16,BTC,45928.25
2021-08-17,BTC,44680.5
2021-08-18,BTC,44715.5
2021-08-19,BTC,46768.75
2021-08-20,BTC,49345.5
2021-08-21,BTC,48876
2021-08-22,BTC,49295.5
2021-08-23,BTC,49528.5
2021-08-24,BTC,47723
2021-08-25,BTC,49010
2021-08-26,BTC,46855.25
2021-08-27,BTC,49088.5
2021-08-28,BTC,48921
2021-08-29,BTC,48803.5
2021-08-30,BTC,46995.75
2021-08-31,BTC,47144.25
2021-09-01,BTC,48850.5
2021-09-02,BTC,49294.75
2021-09-03,BTC,50014.25
2021-09-04,BTC,49944.25
2021-09-05,BTC,51795.25
2021-09-06,BTC,52696
2021-09-07,BTC,46894
2021-09-08,BTC,46106
2021-09-09,BTC,46381.75
2021-09-10,BTC,44859.5
2021-09-11,BTC,45161
2021-09-12,BTC,46064
2021-09-13,BTC,44950.25
2021-09-14,BTC,47109.75
2021-09-15,BTC,48159.25
2021-09-16,BTC,47778
2021-09-17,BTC,47299.5
2021-09-18,BTC,48328.25
2021-09-19,BTC,47250.25
2021-09-20,BTC,43001
2021-09-21,BTC,40703.25
2021-09-22,BTC,43588.75
2021-09-23,BTC,44896.5
2021-09-24,BTC,42862.75
2021-09-25,BTC,42708
2021-09-26,BTC,43207.25
2021-09-27,BTC,42183.75
2021-09-28,BTC,41060.25
2021-09-29,BTC,41538.5
2021-09-30,BTC,43817.25
2021-10-01,BTC,48165.5
2021-10-02,BTC,47685.75
2021-10-03,BTC,48230
2021-10-04,BTC,49225.25
2021-10-05,BTC,51485
2021-10-06,BTC,55343
2021-10-07,BTC,53788
2021-10-08,BTC,53926.5
2021-10-09,BTC,54951.75
2021-10-10,BTC,54713.25
2021-10-11,BTC,57490
2021-10-12,BTC,55966.75
2021-10-13,BTC,57389.25
2021-10-14,BTC,57352.5
2021-10-15,BTC,61667.25
