date,symbol,price
2022-07-14 0:00:00,BTC/USD,"$20,349.34"
2022-07-13 0:00:00,BTC/USD,"$20,313.28"
2022-07-12 0:00:00,BTC/USD,"$19,398.42"
2022-07-11 0:00:00,BTC/USD,"$20,029.51"
2022-07-10 0:00:00,BTC/USD,"$20,939.50"
2022-07-09 0:00:00,BTC/USD,"$21,674.70"
2022-07-08 0:00:00,BTC/USD,"$21,670.48"
2022-07-07 0:00:00,BTC/USD,"$21,730.13"
2022-07-06 0:00:00,BTC/USD,"$20,629.64"
2022-07-05 0:00:00,BTC/USD,"$20,249.30"
2022-07-04 0:00:00,BTC/USD,"$20,290.37"
2022-07-03 0:00:00,BTC/USD,"$19,371.64"
2022-07-02 0:00:00,BTC/USD,"$19,305.16"
2022-07-01 0:00:00,BTC/USD,"$19,316.43"
2022-06-30 0:00:00,BTC/USD,"$20,004.59"
2022-06-29 0:00:00,BTC/USD,"$20,173.55"
2022-06-28 0:00:00,BTC/USD,"$20,342.39"
2022-06-27 0:00:00,BTC/USD,"$20,782.52"
2022-06-26 0:00:00,BTC/USD,"$21,112.80"
2022-06-25 0:00:00,BTC/USD,"$21,572.75"
2022-06-24 0:00:00,BTC/USD,"$21,300.28"
2022-06-23 0:00:00,BTC/USD,"$21,177.79"
2022-06-22 0:00:00,BTC/USD,"$20,043.53"
2022-06-21 0:00:00,BTC/USD,"$20,795.14"
2022-06-20 0:00:00,BTC/USD,"$20,637.66"
2022-06-19 0:00:00,BTC/USD,"$20,635.03"
2022-06-18 0:00:00,BTC/USD,"$19,032.63"
2022-06-17 0:00:00,BTC/USD,"$20,522.46"
2022-06-16 0:00:00,BTC/USD,"$20,464.41"
2022-06-15 0:00:00,BTC/USD,"$22,645.49"
2022-06-14 0:00:00,BTC/USD,"$22,185.69"
2022-06-13 0:00:00,BTC/USD,"$22,540.23"
2022-06-12 0:00:00,BTC/USD,"$26,691.44"
2022-06-11 0:00:00,BTC/USD,"$28,504.50"
2022-06-10 0:00:00,BTC/USD,"$29,181.92"
2022-06-09 0:00:00,BTC/USD,"$30,209.39"
2022-06-08 0:00:00,BTC/USD,"$30,306.32"
2022-06-07 0:00:00,BTC/USD,"$31,240.28"
2022-06-06 0:00:00,BTC/USD,"$31,476.61"
2022-06-05 0:00:00,BTC/USD,"$30,008.54"
2022-06-04 0:00:00,BTC/USD,"$29,972.92"
2022-06-03 0:00:00,BTC/USD,"$29,788.07"
2022-06-02 0:00:00,BTC/USD,"$30,558.93"
2022-06-01 0:00:00,BTC/USD,"$29,906.55"
2022-05-31 0:00:00,BTC/USD,"$31,889.81"
2022-05-30 0:00:00,BTC/USD,"$31,858.14"
2022-05-29 0:00:00,BTC/USD,"$29,566.74"
2022-05-28 0:00:00,BTC/USD,"$29,126.86"
2022-05-27 0:00:00,BTC/USD,"$28,703.84"
2022-05-26 0:00:00,BTC/USD,"$29,299.79"
2022-05-25 0:00:00,BTC/USD,"$29,628.19"
2022-05-24 0:00:00,BTC/USD,"$29,750.68"
2022-05-23 0:00:00,BTC/USD,"$29,198.09"
2022-05-22 0:00:00,BTC/USD,"$30,385.72"
2022-05-21 0:00:00,BTC/USD,"$29,538.73"
2022-05-20 0:00:00,BTC/USD,"$29,293.41"
2022-05-19 0:00:00,BTC/USD,"$30,411.49"
2022-05-18 0:00:00,BTC/USD,"$28,795.99"
2022-05-17 0:00:00,BTC/USD,"$30,547.06"
2022-05-16 0:00:00,BTC/USD,"$29,951.78"
2022-05-15 0:00:00,BTC/USD,"$31,420.21"
2022-05-14 0:00:00,BTC/USD,"$30,154.10"
2022-05-13 0:00:00,BTC/USD,"$29,355.77"
2022-05-12 0:00:00,BTC/USD,"$29,011.77"
2022-05-11 0:00:00,BTC/USD,"$29,116.00"
2022-05-10 0:00:00,BTC/USD,"$31,123.97"
2022-05-09 0:00:00,BTC/USD,"$30,202.33"
2022-05-08 0:00:00,BTC/USD,"$34,161.60"
2022-05-07 0:00:00,BTC/USD,"$35,605.31"
2022-05-06 0:00:00,BTC/USD,"$36,163.30"
2022-05-05 0:00:00,BTC/USD,"$36,680.07"
2022-05-04 0:00:00,BTC/USD,"$39,843.97"
2022-05-03 0:00:00,BTC/USD,"$37,880.87"
2022-05-02 0:00:00,BTC/USD,"$38,675.09"
2022-05-01 0:00:00,BTC/USD,"$38,642.29"
2022-04-30 0:00:00,BTC/USD,"$37,790.36"
2022-04-29 0:00:00,BTC/USD,"$38,747.79"
2022-04-28 0:00:00,BTC/USD,"$39,913.22"
2022-04-27 0:00:00,BTC/USD,"$39,413.07"
2022-04-26 0:00:00,BTC/USD,"$38,290.22"
2022-04-25 0:00:00,BTC/USD,"$40,602.87"
