date,symbol,price
2022-07-14 0:00:00,ETH/USD,"$1,118.30"
2022-07-13 0:00:00,ETH/USD,"$1,119.47"
2022-07-12 0:00:00,ETH/USD,"$1,039.73"
2022-07-11 0:00:00,ETH/USD,"$1,100.02"
2022-07-10 0:00:00,ETH/USD,"$1,171.20"
2022-07-09 0:00:00,ETH/USD,"$1,221.36"
2022-07-08 0:00:00,ETH/USD,"$1,218.46"
2022-07-07 0:00:00,ETH/USD,"$1,242.59"
2022-07-06 0:00:00,ETH/USD,"$1,190.75"
2022-07-05 0:00:00,ETH/USD,"$1,136.87"
2022-07-04 0:00:00,ETH/USD,"$1,154.17"
2022-07-03 0:00:00,ETH/USD,"$1,077.54"
2022-07-02 0:00:00,ETH/USD,"$1,069.82"
2022-07-01 0:00:00,ETH/USD,"$1,062.52"
2022-06-30 0:00:00,ETH/USD,"$1,075.41"
2022-06-29 0:00:00,ETH/USD,"$1,102.85"
2022-06-28 0:00:00,ETH/USD,"$1,147.09"
2022-06-27 0:00:00,ETH/USD,"$1,194.97"
2022-06-26 0:00:00,ETH/USD,"$1,202.74"
2022-06-25 0:00:00,ETH/USD,"$1,246.80"
2022-06-24 0:00:00,ETH/USD,"$1,229.62"
2022-06-23 0:00:00,ETH/USD,"$1,148.55"
2022-06-22 0:00:00,ETH/USD,"$1,052.51"
2022-06-21 0:00:00,ETH/USD,"$1,129.04"
2022-06-20 0:00:00,ETH/USD,"$1,132.02"
2022-06-19 0:00:00,ETH/USD,"$1,131.84"
2022-06-18 0:00:00,ETH/USD,"$1,000.27"
2022-06-17 0:00:00,ETH/USD,"$1,088.76"
2022-06-16 0:00:00,ETH/USD,"$1,071.87"
2022-06-15 0:00:00,ETH/USD,"$1,242.18"
2022-06-14 0:00:00,ETH/USD,"$1,210.40"
2022-06-13 0:00:00,ETH/USD,"$1,213.53"
2022-06-12 0:00:00,ETH/USD,"$1,438.63"
2022-06-11 0:00:00,ETH/USD,"$1,536.42"
2022-06-10 0:00:00,ETH/USD,"$1,667.19"
2022-06-09 0:00:00,ETH/USD,"$1,794.28"
2022-06-08 0:00:00,ETH/USD,"$1,797.57"
2022-06-07 0:00:00,ETH/USD,"$1,819.49"
2022-06-06 0:00:00,ETH/USD,"$1,866.50"
2022-06-05 0:00:00,ETH/USD,"$1,812.20"
2022-06-04 0:00:00,ETH/USD,"$1,810.41"
2022-06-03 0:00:00,ETH/USD,"$1,781.00"
2022-06-02 0:00:00,ETH/USD,"$1,840.01"
2022-06-01 0:00:00,ETH/USD,"$1,824.32"
2022-05-31 0:00:00,ETH/USD,"$1,948.31"
2022-05-30 0:00:00,ETH/USD,"$2,004.73"
2022-05-29 0:00:00,ETH/USD,"$1,819.09"
2022-05-28 0:00:00,ETH/USD,"$1,798.14"
2022-05-27 0:00:00,ETH/USD,"$1,729.79"
2022-05-26 0:00:00,ETH/USD,"$1,798.55"
2022-05-25 0:00:00,ETH/USD,"$1,949.27"
2022-05-24 0:00:00,ETH/USD,"$1,986.04"
2022-05-23 0:00:00,ETH/USD,"$1,979.24"
2022-05-22 0:00:00,ETH/USD,"$2,048.88"
2022-05-21 0:00:00,ETH/USD,"$1,981.13"
2022-05-20 0:00:00,ETH/USD,"$1,964.92"
2022-05-19 0:00:00,ETH/USD,"$2,025.92"
2022-05-18 0:00:00,ETH/USD,"$1,918.86"
2022-05-17 0:00:00,ETH/USD,"$2,097.72"
2022-05-16 0:00:00,ETH/USD,"$2,028.92"
2022-05-15 0:00:00,ETH/USD,"$2,151.66"
